Speaker,Frequency
HERNANDEZ CANELO,18
SERPA,14
ALEX KOURI,11
VILLANUEVA RUESTA,11
DELGADO PARKER,11
IBARCENA,10
ARCE,9
LOCUTOR,8
MONTES DE OCA,8
SANTANDER,7
JOY WAY,7
BELLO VAZQUEZ,6
CROUSILLAT,6
CALMELL,5
HERMOZA RIOS,4
BOROBIO,4
VERA,4
MONROE,4
FUJIMORI,4
VALLE RIESTRA,4
ISRAEL,4
HUAMAN,4
BEDOYA,3
LUCCHETTI,3
BERGAMINO,3
DIANDERAS,3
LEWIS,3
MEDELIUS,3
PANDO,3
BERTINI,3
SAUCEDO SANCHEZ,3
REATEGUI,3
ROMERO SEMINARIO,3
AMERICANO,2
MELLADO,2
ALBARRACIN,2
TUDELA,2
FERRERO,2
AYBAR,2
HURTADO MILLER,2
CAMPOS,2
SAUCHEDO SANCHEZ,2
EMBAJADORA,2
CUCULIZA,2
IVACHINE,2
ESPICHAN,2
TRELLES,2
VIDAL,2
GUZMAN,2
COSTA,2
VELIT,2
REPRESENTANTE ESTADOS UNIDOS,2
SALGADO,2
SCHUTZ,2
