	Position	Type	Montesinos' inner circle	speaker_std	completed_bio		notes	
Vladimir Montesinos		Security		MONTESINOS				
Desconocido				DESCONOCIDO				
Alexander Martín Kouri Bumachar	Elected Constituent Congressman (1992 - 1995) for the Partido Popular Cristiano (national right-wing political party). Elected Mayor of Callao three times (1996 - 2006) for the Independent Movement Chim Pum Callao (right-wing regional movement).	Congress	X	KOURI				
Lucchetti	Company specialized in pasta manufacturing	Businessperson		LUCCHETTI			Lucchetti -- name of company, not name of person. when they refer to "el senor lucchetti" in transcripts, sometimes refers to Luksic, sometimes might refer to unknown employee of Lucchetti factories 	
Carlos Eduardo Ferrero Costa	Congressman (1995-2000)	Congress	X	FERRERO	X		Multiple Ferrero Costa in Peruvian politics. There is a Carlos and an Eduardo, but not a Carlos Eduardo.	Already completed
Alberto Fujimori	President of Peru (1990-2000)	Government	X	FUJIMORI				Needs editing
Lori Berenson	American who aided guerrillas in Peru, arrested	Security rival		BERENSON	X			Can't write (give short reason in notes column) 
Anonymous "el Señor" (876)	Ally of Montesinos with knowledge of inner working of public security and narco surveillance	Security		SENOR				Repeated
Abimael Guzman	Guerrilla and terrorist leader in Peru	Security rival		GUZMAN				
Alberto Pascal Arbulu		Government	X	PASCAL	X			
Rafael Urrelo Guerra	Congressman 1995-2000	Congress	X	URRELO	X			
Carlos Blanco Oropeza	Congressman 1995-2000	Congress	X	BLANCO	X			
Jorge Trelles Montero	Congressman 1995-2000	Congress, Government	X	TRELLES	X			
Alfredo Quispe Corre	Minister of Justice 1997-1999	Government	X	QUISPE	X			
Eduardo Pando Pacheco	Congressman 1995-2000	Congress	X	PANDO	X			
Miguel Velit Nunez	Congressman 1992-1995, Presidente de la Comisión de Fiscalización del Congreso de la República 1997-2000	Congress	X	VELIT	X			
Ricardo Marcenaro Frers	Congressman 1995-2000, 2000-2001; President of Congress 1999-1999	Congress	X	MARCENARO	X			
Adolfo Amoin Bueno	Congressman 1995-2000, President of Tourism Comission 1997-1998	Congress	X	AMOIN	X			
Oscar Medelius Rodriguez	Congressman 1995-2000	Congress	X	MEDELIUS	X			
Jorge Ruiz Davila		Congress	X	RUIZ	X			
Luz Salgado Rubianes de Paredes	Congresswoman 1995-2001, President of Congress 2016-2017	Congress	X	SALGADO				
Victor Joy Way Rojas	Congressman and President of Congress 1995-2000, 2001-2006 President of the Council of Ministers 1999-1999, Secretary of Economy and Finance 1999-1999	Congress	X	JOY WAY				
Carmen Lozada de Gamboa	Congresswoman 1992-1995, 1995-2000, 2000-2001	Congress	X	LOZADA	X			
Daniel Espichan Tumay	Congressman 1995-2000, legal consulting	Congress	X	ESPICHAN	X			
Edith Mellado Cespedes		Congress	X	MELLADO	X			
Gilperto Sirura Cespedes		Congress	X	SIRURA	X			
Alberto Andrade	Mayor of Lima 1996-2002, adversary to Fujimori administration	Government		ANDRADE				
Luisa Maria Cuculiza	Mayor of Lima Borja District 1993-1999, Minister of Women's Promotion and Social Development from 1999 to 2000	Government	X	CUCULIZA				
Juan Briones Davila	Minister of the Interior 1991-1997	Government	X	DAVILA	X			
Alipio Montes de Oca	Supreme Court Justice (Chief Justice)	Judiciary	X	MONTES DE OCA	X			
Luis Serpa Seguras	President of Jurado Nacional de Elecciones	Electoral justice	X	SERPA	X			
Victor Raul Castillo	Supreme Court Justice	Judiciary	X	CASTILLO	X			
Jose Dellepiane Massa	Executive Secretary of the Comisión Ejecutiva del Poder Judicial	Government, Judiciary		DELLEPIANE	X			
Jaime Beltran Quiroga	Judge	Judiciary	X	BELTRAN	X			
Javier Valle Riestra González	Prime Minister of Peru from June-August 1998 (not from Fujimori's party, but a cautious cooperator)	Government		VALLE RIESTRA	X			
Señor Santander	Advisor to Javier Valle Riestra (possibly chief of staff?)	Government		SANTANDER	X			
Romulo Muñoz Arce	Magistrate of the Jurado Nacional de Elecciones (JNE)	Electoral justice	X	ARCE	X			
Jose Garcia Marcelo	Magistrate of the Tribunal Constitucional	Judiciary	X	MARCHELO	X			
Walter Hernandez Canelo	Magistrate of the Jurado Nacional de Elecciones (JNE)	Electoral justice	X	HERNANDEZ CANELO	X			
Juan Carlos Hurtado Miller	Fujimorist politician and candidate to mayor of Lima 1998	Government	X	HURTADO MILLER				
Daniel Borobio Guede	Advisor and Publicist to Fujimori	Government	X	BOROBIO	X			
Carlos Bringas	Magistrate of the Jurado Nacional de Elecciones (JNE)	Electoral justice	X	BRINGAS			Multiple Carlos Bringas in Peruvian politics	
Victor Ivachine	Russian pilot	Foreign		IVACHINE				
General Cesar Saucedo Sanchez	General in Division of Peru Armed Forces; Comandante General del Ejercito	Military or Police		SAUCHEDO SANCHEZ	X			
Nicolas de Bari Hermoza Rios	Comandante General del Ejercito	Military or Police		HERMOZA RIOS				
A.P. General Antonio Ibarcena Amico	Presumably Generals; High Command in Peru Armed Forces	Military or Police		IBARCENA	X			
Dianderas	Presumably Generals; High Command in Peru Armed Forces	Military or Police		DIANDERAS	X			
Elesvan Bello Vazquez	Presumably Generals; High Command in Peru Armed Forces	Military or Police		BELLO VAZQUEZ	X			
General Jose Villanueva Ruesta	Military General; advisor and confidante of Montesinos	Military or Police	X	VILLANUEVA RUESTA	X			
Salazar Monroe	Presumably Generals; High Command in Peru Armed Forces	Military or Police		MONROE	X			
Luis Venero Garrido	Brother of Alberto Venero Garrido, participated in organized crime and illegal pruchase of military equipment alongside Montesinos and Fujimori	Front man		VENERO				
Coronel Roberto Huaman Azcurra		Military or Police		HUAMAN	X			
Manuel Tafur Ruiz		Congress		TAFUR	X			
Ernesto Gamarra Olivares	Congressman with connections in El Comercio	Congress		GAMARRA	X			
Cecilia Valenzuela	Anti-fujimorist journalist	Media		VALENZUELA				
Jamil Mahuad	President-elect of Peru	Foreign		MAHUAD	X			
Julio Vera Gutierrez	Controlling shareholder of ATV	Media		VERA	X			
Cesar Hildebrant	Anti-fujimorist journalist	Media		HILDEBRANT				
Luis Iberico	Publicist at ATV	Media		IBERICO	X		Multiple Luis Iberico in Peruvian politics	
